--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
086.377  000.298  000.291: require('config.options')
086.596  000.094  000.094: require('custom.line_numbers')
086.690  000.091  000.091: require('snacks.keymap')
088.192  000.196  000.196: require('vim.lsp.buf')
088.252  001.871  001.491: require('config.keymaps')
088.396  000.141  000.141: require('config.highlights')
088.704  000.129  000.129: require('config.autocmds')
088.708  070.312  000.237: sourcing C:\Users\rmcfa\AppData\Local\nvim\init.lua
088.734  000.998: sourcing vimrc file(s)
089.873  000.132  000.132: sourcing C:\Program Files\Neovim\share\nvim\runtime\filetype.lua
090.590  000.064  000.064: sourcing C:\Program Files\Neovim\share\nvim\runtime\syntax\synload.vim
090.827  000.623  000.558: sourcing C:\Program Files\Neovim\share/nvim/runtime/syntax/syntax.vim
090.843  001.355: inits 3
092.826  001.982: reading ShaDa
092.988  000.162: opening buffers
093.291  000.217  000.217: require('snacks.explorer')
093.649  000.444: BufEnter autocommands
093.655  000.005: editing files in windows
093.662  000.007: --- NVIM STARTED ---

